No.;SiglaProyecto;NombreProyecto;NombreEstacionPeaje; 2016Ene ; 2016Feb ; 2016Mar ; 2016Abr ; 2016May ; 2016Jun ; 2016Jul ; 2016Ago ; 2016Sep ; 2016Oct ; 2016Nov ; 2016Dic ; 2017Ene ; 2017Feb ; 2017Mar ; 2017Abr ; 2017May ; 2017Jun ; 2017Jul ; 2017Ago ; 2017Sep ; 2017Oct ; 2017Nov ; 2017Dic ; 2018Ene ; 2018Feb ; 2018Mar ; 2018Abr ; 2018May ; 2018Jun ; 2018Jul ; 2018Ago ; 2018Sept ; 2018Oct ; 2018Nov ; 2018Dic 
121;IP-AB;IP - ANTIOQUIA BOLIVAR;SAN CARLOS; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
122;IP-AB;IP - ANTIOQUIA BOLIVAR;SAN ONOFRE; 81.662 ; 57.323 ; 74.191 ; 54.475 ; 60.597 ; 59.654 ; 61.792 ; 61.326 ; 55.921 ; 56.442 ; 54.804 ; 66.585 ; 2.366 ; 1.791 ; 1.818 ; 2.267 ; 1.782 ; 2.005 ; 1.896 ; 1.808 ; 1.788 ; 1.760 ; 1.808 ; 2.194 ; 75.748 ; 51.664 ; 63.951 ; 60.540 ; 56.138 ; 58.363 ; 62.393 ; 58.692 ; 53.250 ; 57.009 ; 55.632 ; 71.468 
123;IP-CM;IP - CAMBAO-MANIZALES;ALVARADO; 181.869 ; 132.747 ; 154.115 ; 142.040 ; 147.430 ; 149.079 ; 154.976 ; 156.819 ; 144.321 ; 155.354 ; 149.700 ; 174.197 ; 5.949 ; 4.711 ; 4.715 ; 5.086 ; 4.815 ; 5.099 ; 5.136 ; 5.092 ; 4.789 ; 4.935 ; 4.987 ; 5.621 ; 248.671 ; 187.535 ; 231.634 ; 204.391 ; 136.455 ; 172.753 ; 201.723 ; 214.975 ; 199.674 ; 209.782 ; 213.607 ; 256.115 
124;IP-CM;IP - CAMBAO-MANIZALES;HONDA; 170.599 ; 110.976 ; 141.250 ; 114.929 ; 124.956 ; 128.373 ; 132.815 ; 136.506 ; 120.465 ; 136.745 ; 130.147 ; 163.719 ; 5.939 ; 4.079 ; 4.013 ; 4.674 ; 3.886 ; 4.428 ; 4.466 ; 4.326 ; 3.987 ; 4.364 ; 4.327 ; 5.337 ; 182.806 ; 117.580 ; 143.443 ; 125.395 ; 124.952 ; 136.189 ; 142.909 ; 134.709 ; 119.229 ; 134.459 ; 124.465 ; 152.496 
125;IP-CG;IP - CESAR - GUAJIRA;RINCON HONDO; -   ; -   ; -   ; -   ; 36.945 ; 48.376 ; 47.773 ; 50.120 ; 47.236 ; 49.677 ; 48.150 ; 63.978 ; 1.954 ; 1.650 ; 1.676 ; 1.961 ; 1.610 ; 1.669 ; 1.681 ; 1.583 ; 1.555 ; 1.582 ; 1.590 ; 1.985 ; 61.769 ; 24.706 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
126;IP-CG;IP - CESAR - GUAJIRA;RIO SECO; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; 19.886 ; 65.878 ; 63.965 ; 80.973 ; 2.383 ; 1.910 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
127;IP-CG;IP - CESAR - GUAJIRA;SAN DIEGO; -   ; -   ; -   ; -   ; 31.802 ; 117.870 ; 121.786 ; 122.692 ; 115.241 ; 118.965 ; 115.915 ; 142.983 ; 4.124 ; 3.879 ; 3.863 ; 3.909 ; 3.821 ; 3.993 ; 4.040 ; 4.031 ; 3.933 ; 3.973 ; 4.044 ; 4.697 ; 133.587 ; 66.367 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
128;IP-CG;IP - CESAR - GUAJIRA;SAN JUAN; 147.102 ; 126.869 ; 142.780 ; 135.545 ; 137.221 ; 132.636 ; 142.226 ; 137.910 ; 133.742 ; 140.636 ; 139.151 ; 157.732 ; 4.823 ; 4.628 ; 4.785 ; 4.880 ; 4.866 ; 5.091 ; 5.242 ; 5.175 ; 5.296 ; 5.348 ; 5.412 ; 5.986 ; 175.205 ; 93.411 ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   
129;IP-MVM;IP - MALLA VIAL DEL META;CASETABLA; -   ; -   ; -   ; 21.976 ; 49.665 ; 49.647 ; 46.622 ; 50.142 ; 48.386 ; 49.909 ; 45.965 ; 48.549 ; 1.636 ; 1.424 ; 1.535 ; 1.476 ; 1.465 ; 1.439 ; 1.475 ; 1.507 ; 1.455 ; 1.464 ; 1.551 ; 1.610 ; 50.357 ; 39.248 ; 45.629 ; 44.563 ; 47.445 ; 44.219 ; 45.197 ; 45.865 ; 44.774 ; 50.777 ; 50.660 ; 54.076 
130;IP-MVM;IP - MALLA VIAL DEL META;IRACA; 133.083 ; 95.187 ; 107.072 ; 94.471 ; 99.765 ; 101.346 ; 102.774 ; 107.695 ; 100.733 ; 106.630 ; 105.113 ; 120.307 ; 4.208 ; 3.420 ; 3.357 ; 3.500 ; 3.230 ; 3.273 ; 3.384 ; 3.585 ; 3.298 ; 3.447 ; 3.536 ; 3.943 ; 128.739 ; 89.700 ; 106.323 ; 97.267 ; 95.708 ; 95.827 ; 102.794 ; 99.967 ; 95.431 ; 102.903 ; 100.835 ; 119.374 
